scenario,es,biod,budget,n_selected,runtime,solution,raster
es-5_biod-0_budget-100,0.05,0,1,17172.8722320423,22.522,solution_es-5_biod-0_budget-100_10km.rds,solution_es-5_biod-0_budget-100_10km.tif
es-10_biod-0_budget-100,0.1,0,1,39111.5297537302,22.713,solution_es-10_biod-0_budget-100_10km.rds,solution_es-10_biod-0_budget-100_10km.tif
es-15_biod-0_budget-100,0.15,0,1,63861.4655679858,24.047,solution_es-15_biod-0_budget-100_10km.rds,solution_es-15_biod-0_budget-100_10km.tif
es-20_biod-0_budget-100,0.2,0,1,90520.8791101246,24.612,solution_es-20_biod-0_budget-100_10km.rds,solution_es-20_biod-0_budget-100_10km.tif
es-25_biod-0_budget-100,0.25,0,1,118694.577103467,26.395,solution_es-25_biod-0_budget-100_10km.rds,solution_es-25_biod-0_budget-100_10km.tif
es-30_biod-0_budget-100,0.3,0,1,148385.244182505,25.3680000000001,solution_es-30_biod-0_budget-100_10km.rds,solution_es-30_biod-0_budget-100_10km.tif
es-35_biod-0_budget-100,0.35,0,1,179727.454644041,24.425,solution_es-35_biod-0_budget-100_10km.rds,solution_es-35_biod-0_budget-100_10km.tif
es-40_biod-0_budget-100,0.4,0,1,213019.694137948,18.74,solution_es-40_biod-0_budget-100_10km.rds,solution_es-40_biod-0_budget-100_10km.tif
es-45_biod-0_budget-100,0.45,0,1,248723.554459662,19.498,solution_es-45_biod-0_budget-100_10km.rds,solution_es-45_biod-0_budget-100_10km.tif
es-50_biod-0_budget-100,0.5,0,1,287281.088690705,16.705,solution_es-50_biod-0_budget-100_10km.rds,solution_es-50_biod-0_budget-100_10km.tif
es-55_biod-0_budget-100,0.55,0,1,329168.233398694,19.122,solution_es-55_biod-0_budget-100_10km.rds,solution_es-55_biod-0_budget-100_10km.tif
es-60_biod-0_budget-100,0.6,0,1,374861.227701792,22.278,solution_es-60_biod-0_budget-100_10km.rds,solution_es-60_biod-0_budget-100_10km.tif
es-65_biod-0_budget-100,0.65,0,1,424651.27667892,23.959,solution_es-65_biod-0_budget-100_10km.rds,solution_es-65_biod-0_budget-100_10km.tif
es-70_biod-0_budget-100,0.7,0,1,478716.778113925,25.931,solution_es-70_biod-0_budget-100_10km.rds,solution_es-70_biod-0_budget-100_10km.tif
es-75_biod-0_budget-100,0.75,0,1,537510.573000308,24.6700000000001,solution_es-75_biod-0_budget-100_10km.rds,solution_es-75_biod-0_budget-100_10km.tif
es-80_biod-0_budget-100,0.8,0,1,601904.993130371,24.102,solution_es-80_biod-0_budget-100_10km.rds,solution_es-80_biod-0_budget-100_10km.tif
es-85_biod-0_budget-100,0.85,0,1,673799.82437059,23.6859999999999,solution_es-85_biod-0_budget-100_10km.rds,solution_es-85_biod-0_budget-100_10km.tif
es-90_biod-0_budget-100,0.9,0,1,757087.043700106,23.056,solution_es-90_biod-0_budget-100_10km.rds,solution_es-90_biod-0_budget-100_10km.tif
es-95_biod-0_budget-100,0.95,0,1,863676.899524802,23.13,solution_es-95_biod-0_budget-100_10km.rds,solution_es-95_biod-0_budget-100_10km.tif
